"","batch","start_time","SDH2O_out","H2O_out","SD_18O_out","d18O_out","SD_2H_out","d2H_out","Flask","SWISS","test"
"1",0,2021-08-25 16:17:03,43.11,679.55,2.98,-24.8,14.7,-127.9,2,"Lindt","Dry Air 7 Day"
"2",4,2021-08-25 16:22:01,8.79,370.6,4.81,-29.1,27.02,-141.1,3,"Lindt","Dry Air 7 Day"
"3",8,2021-08-25 16:32:01,7.29,351.13,4.99,-32.7,27.58,-157.7,5,"Lindt","Dry Air 7 Day"
"4",12,2021-08-25 16:37:02,7.2,290.95,6.39,-32.7,32.28,-155.5,6,"Lindt","Dry Air 7 Day"
"5",16,2021-08-25 16:42:02,8.83,278.26,6.94,-32.8,38.25,-152.3,7,"Lindt","Dry Air 7 Day"
"6",17,2021-08-25 16:47:02,13.3,364.09,4.68,-33.5,27.01,-155.9,8,"Lindt","Dry Air 7 Day"
"7",21,2021-08-25 16:52:04,7.46,287.73,6.22,-33.2,31.11,-158.5,9,"Lindt","Dry Air 7 Day"
"8",25,2021-08-25 16:57:04,8.69,292.34,6.68,-33.9,31.28,-160.3,10,"Lindt","Dry Air 7 Day"
"9",29,2021-08-25 17:02:05,7.62,277.07,6.93,-34.6,33.7,-162.3,11,"Lindt","Dry Air 7 Day"
"10",32,2021-08-25 17:12:05,4.63,309.45,6.09,-35,33.76,-159.1,13,"Lindt","Dry Air 7 Day"
"11",35,2021-08-25 17:17:06,20.44,464.19,4.16,-33.2,21.29,-162.7,14,"Lindt","Dry Air 7 Day"
"12",39,2021-08-25 17:22:07,5.64,363.38,5.29,-35.3,26.88,-163,15,"Lindt","Dry Air 7 Day"
"13",42,2021-08-25 17:27:07,9.6,375.96,5,-34.5,25.1,-163.9,16,"Lindt","Dry Air 7 Day"
"14",NA,2021-08-25 16:27:16,9.86,460.33,4.38,-31.6,21.52,-148.6,4,"Lindt","Dry Air 7 Day"
"15",NA,2021-08-25 17:07:16,11.23,351.23,4.85,-35,29.83,-160.5,12,"Lindt","Dry Air 7 Day"
