"","batch","start_time","SDH2O_out","H2O_out","SD_18O_out","d18O_out","SD_2H_out","d2H_out","Flask","SWISS","test"
"1",0,2021-08-22 15:19:03,10.16,545.65,3.53,-25.1,17.95,-128,2,"Toblerone","Dry Air 7 Day"
"2",4,2021-08-22 15:23:43,2.3,336.16,5.49,-25.9,27.23,-129.6,3,"Toblerone","Dry Air 7 Day"
"3",8,2021-08-22 15:28:43,7.23,311.21,6.05,-26.6,31.03,-130,4,"Toblerone","Dry Air 7 Day"
"4",13,2021-08-22 15:33:44,5.7,274.69,6.36,-24.9,36.85,-130,5,"Toblerone","Dry Air 7 Day"
"5",17,2021-08-22 15:38:44,9.09,258.35,6.81,-25.9,36.92,-139.4,6,"Toblerone","Dry Air 7 Day"
"6",21,2021-08-22 15:43:44,5.72,259.16,7.16,-28.4,38.04,-134.8,7,"Toblerone","Dry Air 7 Day"
"7",25,2021-08-22 15:48:46,9.29,248.37,7.37,-29.2,40.97,-140.7,8,"Toblerone","Dry Air 7 Day"
"8",29,2021-08-22 15:53:46,4.88,210.82,9.17,-30.5,44.87,-134.4,9,"Toblerone","Dry Air 7 Day"
"9",33,2021-08-22 15:58:46,6.35,206.59,9.35,-28.1,46.6,-138.2,10,"Toblerone","Dry Air 7 Day"
"10",36,2021-08-22 16:03:47,7.11,224.61,8.16,-27.9,43.09,-140.3,11,"Toblerone","Dry Air 7 Day"
"11",40,2021-08-22 16:08:48,6.73,190.16,10.19,-26.8,51.74,-135.8,12,"Toblerone","Dry Air 7 Day"
"12",43,2021-08-22 16:13:48,7.32,224.87,8.5,-26.8,39,-138.8,13,"Toblerone","Dry Air 7 Day"
"13",48,2021-08-22 16:18:49,4.76,180.89,10.16,-24.5,54.01,-140.3,14,"Toblerone","Dry Air 7 Day"
"14",52,2021-08-22 16:23:49,5.9,173.02,10.91,-24.9,62.51,-132.8,15,"Toblerone","Dry Air 7 Day"
"15",56,2021-08-22 16:28:50,6.58,171.41,10.45,-24.8,57.57,-136.5,16,"Toblerone","Dry Air 7 Day"
