"","H2O_Batch.x","start_time.x","SDH2O_out.x","H2O_out.x","SD_18O_out.x","d18O_out.x","SD_2H_out.x","d2H_out.x","Flask","d18O_corr.x","d2H_corr.x","H2O_Batch.y","start_time.y","SDH2O_out.y","H2O_out.y","SD_18O_out.y","d18O_out.y","SD_2H_out.y","d2H_out.y","d18O_corr.y","d2H_corr.y","d18O_diff","d2H_diff","Session","SWISS"
"1",20,2022-03-19 19:19:13,158.39,35037.44,0.18,-40.9,0.51,-259.6,1,-41.5,-253.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"March2022","Fondue"
"2",92,2022-03-19 19:35:26,276.37,32098.89,0.19,-41.4,0.39,-263.4,2,-42,-257.3,734,2022-04-03 12:51:11,566.11,42863.68,0.23,-38.2,0.47,-244.8,-38.6,-239.3,3.4,18.6,"March2022","Fondue"
"3",92,2022-03-19 19:35:26,276.37,32098.89,0.19,-41.4,0.39,-263.4,2,-42,-257.3,829,2022-04-03 13:02:56,1095.01,28947.18,0.17,-35.9,0.43,-234.2,-36.3,-229.1,5.7,29.2,"March2022","Fondue"
"4",126,2022-03-19 19:51:46,346.74,33357.49,0.18,-40.9,0.43,-259.3,3,-41.5,-253.4,680,2022-04-03 12:33:38,43.66,35040.94,0.19,-38.4,0.4,-251.8,-38.8,-245.9,2.7,7.5,"March2022","Fondue"
"5",237,2022-03-19 20:08:06,442.92,33339.19,0.18,-40.8,0.43,-259,4,-41.4,-253.1,632,2022-04-03 12:16:09,22.39,34508.87,0.17,-40.2,0.43,-257,-40.5,-250.9,0.899999999999999,2,"March2022","Fondue"
"6",338,2022-03-19 20:24:17,376.47,33416.25,0.2,-40.9,0.4,-259.1,5,-41.5,-253.2,587,2022-04-03 11:58:45,63.9,33941.38,0.18,-40.4,0.41,-258.1,-40.7,-252,0.799999999999997,1,"March2022","Fondue"
"7",479,2022-03-19 20:40:26,251.07,34065.98,0.18,-40.9,0.4,-259.6,6,-41.5,-253.7,541,2022-04-03 11:41:23,40.22,34958.59,0.17,-40,0.42,-257,-40.3,-250.9,1.2,2.60000000000002,"March2022","Fondue"
"8",602,2022-03-19 20:56:32,251.38,34009.29,0.2,-40.9,0.42,-260.1,7,-41.5,-254.2,492,2022-04-03 11:23:57,38.14,36416.94,0.18,-38.6,0.4,-253,-39,-247.1,2.5,7.10000000000002,"March2022","Fondue"
"9",737,2022-03-19 21:12:48,296.4,34083.19,0.19,-40.9,0.42,-258.9,8,-41.5,-253,444,2022-04-03 11:06:32,38.27,34164.61,0.19,-40.3,0.4,-257.9,-40.6,-251.8,0.899999999999999,1,"March2022","Fondue"
"10",867,2022-03-19 21:29:01,307.45,34054.49,0.19,-40.9,0.41,-259,9,-41.5,-253.1,397,2022-04-03 10:49:08,36.72,34527.64,0.18,-40.1,0.42,-257.5,-40.4,-251.4,1.1,1.5,"March2022","Fondue"
"11",975,2022-03-19 21:44:46,341.63,33672.29,0.18,-40.9,0.39,-259.3,10,-41.5,-253.4,348,2022-04-03 10:31:49,35.71,34796.76,0.18,-39.1,0.39,-255.1,-39.4,-249.1,2.1,4.20000000000002,"March2022","Fondue"
"12",60,2022-03-20 07:43:01,13.4,37865.16,0.19,-40.4,0.43,-257.6,1,-41,-251.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"March2022","Fondue"
"13",114,2022-03-20 07:59:58,133.58,37053.8,0.19,-40.6,0.4,-257.9,11,-41.2,-252.1,273,2022-04-03 10:14:23,710.39,34877.67,0.19,-40,0.48,-256.7,-40.3,-250.6,0.900000000000006,1.19999999999999,"March2022","Fondue"
"14",129,2022-03-20 08:17:21,138.13,36695,0.17,-40.6,0.38,-258,12,-41.2,-252.1,227,2022-04-03 09:57:01,783.04,31693.03,0.2,-38.8,0.56,-254.7,-39.2,-248.7,2,3.30000000000001,"March2022","Fondue"
"15",243,2022-03-20 08:34:02,133.23,36314.33,0.18,-40.6,0.42,-258.2,13,-41.2,-252.3,179,2022-04-03 09:39:33,818.11,32827.01,0.2,-39.2,0.5,-255.4,-39.5,-249.4,1.7,2.79999999999998,"March2022","Fondue"
"16",256,2022-03-20 08:50:56,187.21,36080.65,0.18,-40.7,0.41,-258.4,14,-41.3,-252.5,133,2022-04-03 09:22:06,850.59,32470.52,0.23,-39.2,0.49,-255.1,-39.5,-249.1,1.8,3.29999999999998,"March2022","Fondue"
"17",273,2022-03-20 09:07:25,181.34,36056.38,0.2,-40.7,0.35,-258.3,15,-41.3,-252.4,90,2022-04-03 09:04:46,792.32,32323.66,0.36,-37.7,0.59,-254.8,-38.1,-248.8,3.2,3.5,"March2022","Fondue"
"18",302,2022-03-20 09:25:10,114.48,36086.93,0.17,-40.7,0.4,-258.5,16,-41.3,-252.6,43,2022-04-03 08:47:17,709.24,31590.72,0.35,-37.8,0.63,-255,-38.2,-249,3.09999999999999,3.5,"March2022","Fondue"
