"","H2O_Batch.x","start_time.x","SDH2O_out.x","H2O_out.x","SD_18O_out.x","d18O_out.x","SD_2H_out.x","d2H_out.x","Flask","H2O_Batch.y","start_time.y","SDH2O_out.y","H2O_out.y","SD_18O_out.y","d18O_out.y","SD_2H_out.y","d2H_out.y","d18O_diff","d2H_diff","Session","SWISS"
"1",32,2022-08-17 14:55:08,44.75,29245.69,0.18,-30.3,0.5,-198.2,2,NA,2022-08-30 09:19:01,770.4,24672.55,0.19,-28.7,0.57,-193.8,1.6,4.39999999999998,"August2022","Lindt"
"2",53,2022-08-17 15:55:03,20.21,29353.07,0.19,-30.5,0.51,-200.3,4,NA,2022-08-30 08:36:31,427.48,16015.47,0.21,-29,0.66,-190.8,1.5,9.5,"August2022","Lindt"
"3",96,2022-08-17 16:55:12,73.27,29558.74,0.21,-30.3,0.5,-198.2,6,679,2022-08-29 17:35:22,796.88,23351.57,0.21,-29.7,0.55,-195.3,0.600000000000001,2.89999999999998,"August2022","Lindt"
"4",119,2022-08-17 17:25:10,40.41,29567.68,0.2,-30.2,0.48,-197.6,7,620,2022-08-29 17:23:14,625.4,23002.25,0.23,-28.7,0.58,-190.2,1.5,7.40000000000001,"August2022","Lindt"
"5",127,2022-08-17 18:25:04,23.94,28719.01,0.2,-30.4,0.48,-198.8,9,370,2022-08-29 15:46:08,578.65,24894.46,0.26,-28.8,0.53,-191.5,1.6,7.30000000000001,"August2022","Lindt"
"6",132,2022-08-17 18:55:07,9.97,28718.2,0.2,-30.3,0.47,-198.4,10,311,2022-08-29 15:24:29,718.88,22928.05,0.22,-29.4,0.61,-196.2,0.900000000000002,2.20000000000002,"August2022","Lindt"
"7",146,2022-08-17 19:25:09,10.06,28532.86,0.2,-30.3,0.5,-198.5,11,279,2022-08-29 15:03:54,711.58,22663.76,0.19,-29.6,0.55,-196.2,0.699999999999999,2.30000000000001,"August2022","Lindt"
"8",165,2022-08-17 19:55:09,7.57,28358.9,0.19,-30.3,0.47,-198.6,12,NA,2022-08-29 14:45:31,667.21,22522.8,0.22,-29.4,0.6,-196.4,0.900000000000002,2.19999999999999,"August2022","Lindt"
"9",184,2022-08-17 20:24:59,10.43,28105.36,0.19,-30.3,0.53,-198.6,13,182,2022-08-29 14:24:37,721.46,22404.13,0.19,-29.9,0.54,-196.6,0.400000000000002,2,"August2022","Lindt"
"10",193,2022-08-17 20:55:13,24.4,27864.14,0.19,-30.4,0.5,-199.1,14,100,2022-08-29 13:55:22,694.4,24114.02,0.21,-28.9,0.55,-191.6,1.5,7.5,"August2022","Lindt"
"11",208,2022-08-17 21:25:16,19.49,27786.02,0.19,-30.4,0.52,-199,15,67,2022-08-29 13:33:45,710.11,22974.05,0.2,-28.9,0.62,-192.2,1.5,6.80000000000001,"August2022","Lindt"
"12",229,2022-08-17 21:56:44,8.92,27759.51,0.2,-30.4,0.52,-198.8,16,28,2022-08-29 13:13:35,669.23,21753.95,0.19,-29.8,0.56,-196.5,0.599999999999998,2.30000000000001,"August2022","Lindt"
"13",53,2022-08-17 15:24:44,43.52,28679.32,0.2,-30.7,0.49,-201.7,3,NA,2022-08-30 08:50:01,161.09,27422.5,0.22,-29.9,1.15,-198.7,0.800000000000001,3,"August2022","Lindt"
"14",66,2022-08-17 16:24:44,36.61,28684.79,0.18,-30.6,0.49,-200.9,5,NA,2022-08-29 17:50:01,195.56,27822.04,0.34,-29.3,1.84,-195.4,1.3,5.5,"August2022","Lindt"
"15",127,2022-08-17 17:54:43,24.04,28751.17,0.18,-30.4,0.49,-199.3,8,NA,2022-08-29 16:38:31,304.59,27552.23,0.31,-29.1,2.08,-191.8,1.3,7.5,"August2022","Lindt"
