"","H2O_Batch.x","start_time.x","SDH2O_out.x","H2O_out.x","SD_18O_out.x","d18O_out.x","SD_2H_out.x","d2H_out.x","Flask","d18O_corr.x","d2H_corr.x","start_time.y","SDH2O_out.y","H2O_out.y","SD_18O_out.y","d18O_out.y","SD_2H_out.y","d2H_out.y","H2O_Batch.y","d18O_corr.y","d2H_corr.y","d18O_diff","d2H_diff","Session","SWISS"
"1",7,2022-03-17 12:00:01,17.29,34148.85,0.17,-40.9,0.42,-260.1,2,-41.5,-254.2,2022-03-31 15:58:25,90.9,31559.46,0.18,-38.1,0.41,-248.1,424,-38.5,-242.4,3,12,"March2022","Meringue"
"2",182,2022-03-17 12:32:37,136.39,33405.52,0.19,-41.1,0.41,-260.8,4,-41.7,-254.8,2022-03-31 15:29:48,41.67,34653.58,0.18,-39.7,0.4,-255.4,333,-40,-249.4,1.7,5.40000000000001,"March2022","Meringue"
"3",207,2022-03-17 12:48:49,36.21,34176.65,0.19,-40.9,0.45,-259.9,5,-41.5,-254,2022-03-31 15:12:27,239.31,34671.21,0.2,-39.2,0.46,-255.4,279,-39.5,-249.4,2,4.49999999999997,"March2022","Meringue"
"4",235,2022-03-17 13:05:01,102.77,33876.56,0.19,-41,0.4,-260.7,6,-41.6,-254.7,2022-03-31 14:50:11,26.82,27443.65,0.19,-39.1,0.47,-257,221,-39.4,-250.9,2.2,3.69999999999999,"March2022","Meringue"
"5",301,2022-03-17 13:21:19,103.43,34005.39,0.19,-41,0.43,-260.1,7,-41.6,-254.2,2022-03-31 14:23:24,38.41,29381.59,0.18,-39.1,0.46,-254.7,162,-39.4,-248.7,2.2,5.40000000000003,"March2022","Meringue"
"6",325,2022-03-17 13:37:31,89.63,34054.07,0.18,-41,0.41,-260.1,8,-41.6,-254.2,2022-03-31 13:59:21,25.61,31665.9,0.17,-40.5,0.39,-259,98,-40.8,-252.8,0.800000000000004,1.10000000000002,"March2022","Meringue"
"7",374,2022-03-17 13:53:57,86.64,34085.16,0.18,-41,0.4,-260.1,9,-41.6,-254.2,2022-03-31 13:38:22,18.16,33458.07,0.19,-40.4,0.45,-258.6,45,-40.7,-252.4,0.899999999999999,1.5,"March2022","Meringue"
"8",397,2022-03-17 14:10:06,70.11,34139.26,0.18,-40.9,0.42,-260.1,10,-41.5,-254.2,2022-03-31 11:53:11,11.14,33387.07,0.16,-40.5,0.48,-259.1,434,-40.8,-252.9,0.700000000000003,1,"March2022","Meringue"
"9",429,2022-03-17 14:26:22,129.25,33881.63,0.18,-41.1,0.41,-260.6,11,-41.7,-254.6,2022-03-31 11:24:27,15.66,33241.1,0.17,-37.4,0.4,-252.1,313,-37.8,-246.2,3.90000000000001,8.50000000000003,"March2022","Meringue"
"10",454,2022-03-17 14:42:40,81.29,34044.59,0.19,-40.9,0.36,-259.9,12,-41.5,-254,2022-03-31 10:44:24,16.02,35009.88,0.18,-39.4,0.43,-254.9,210,-39.7,-248.9,1.8,4.99999999999997,"March2022","Meringue"
"11",499,2022-03-17 14:58:56,104.31,33964.52,0.18,-41,0.43,-260.1,13,-41.6,-254.2,2022-03-31 10:30:03,23.89,27883.67,0.18,-40,0.48,-258.1,164,-40.3,-252,1.3,2,"March2022","Meringue"
"12",75,2022-03-17 12:16:41,136.59,33592.15,0.2,-41.1,0.4,-260.9,3,-41.7,-254.9,2022-03-31 15:47:08,999.64,26559.94,0.19,-39.6,0.48,-257.7,378,-39.9,-251.6,1.8,3.19999999999999,"March2022","Meringue"
"13",540,2022-03-17 15:08:57,877.38,31630.34,0.19,-41.2,0.46,-259.5,14,-41.8,-253.6,2022-03-31 10:17:26,19.63,28162.91,0.21,-40,0.44,-258,123,-40.3,-251.9,1.5,1.5,"March2022","Meringue"
