"","H2O_Batch.x","start_time.x","SDH2O_out.x","H2O_out.x","SD_18O_out.x","d18O_out.x","SD_2H_out.x","d2H_out.x","Flask","H2O_Batch.y","start_time.y","SDH2O_out.y","H2O_out.y","SD_18O_out.y","d18O_out.y","SD_2H_out.y","d2H_out.y","d18O_diff","d2H_diff","Session","SWISS"
"1",13,2022-08-18 08:00:26,17.77,26813.18,0.18,-30.2,0.51,-199.2,2,511,2022-08-31 18:18:20,626.62,22640.5,0.31,-28.5,0.61,-193.2,1.7,6,"August2022","Raclette"
"2",52,2022-08-18 08:30:32,18.09,26681.16,0.2,-30.3,0.5,-199.3,3,476,2022-08-31 18:04:04,689.98,22208.9,0.2,-29.3,0.55,-194,1,5.30000000000001,"August2022","Raclette"
"3",78,2022-08-18 09:30:29,16.3,26568.36,0.18,-30.2,0.53,-199.1,5,416,2022-08-31 17:27:35,709.6,22815.89,0.24,-29.2,0.62,-193.8,1,5.29999999999998,"August2022","Raclette"
"4",110,2022-08-18 10:00:30,8.36,26591.06,0.2,-30.3,0.56,-199.2,6,NA,2022-08-31 17:08:01,607.51,23015.81,0.28,-29.3,0.62,-197.6,1,1.59999999999999,"August2022","Raclette"
"5",126,2022-08-18 10:30:27,8.64,26555.38,0.19,-30.3,0.51,-199.2,7,375,2022-08-31 17:09:41,663.91,21786.3,0.28,-29,0.63,-197.2,1.3,2,"August2022","Raclette"
"6",157,2022-08-18 11:00:59,52.95,26543.27,0.19,-30.3,0.55,-199.1,8,278,2022-08-31 16:29:42,547.17,21004.94,0.23,-29.5,0.59,-196.8,0.800000000000001,2.29999999999998,"August2022","Raclette"
"7",175,2022-08-18 11:30:22,12.69,26519.38,0.21,-30.3,0.51,-199.2,9,243,2022-08-31 16:12:34,677.61,22146.51,0.2,-29.2,0.54,-195.2,1.1,4,"August2022","Raclette"
"8",191,2022-08-18 12:00:54,11.79,26507.45,0.19,-30.3,0.49,-199.2,10,207,2022-08-31 15:56:30,631.12,22196.22,0.2,-29,0.59,-194.4,1.3,4.79999999999998,"August2022","Raclette"
"9",221,2022-08-18 12:31:00,41.08,26468.26,0.2,-30.4,0.53,-199.2,11,177,2022-08-31 13:15:42,696.07,20846,0.22,-28.6,0.61,-192.7,1.8,6.5,"August2022","Raclette"
"10",243,2022-08-18 13:30:21,9.42,26433.57,0.19,-30.2,0.51,-199.1,13,123,2022-08-31 12:40:09,664.98,20846.44,0.19,-29.8,0.57,-197.2,0.399999999999999,1.90000000000001,"August2022","Raclette"
"11",261,2022-08-18 14:00:26,10.84,26426.05,0.19,-30.3,0.5,-199.1,14,95,2022-08-31 12:21:57,657.07,20864.59,0.21,-30,0.58,-197.5,0.300000000000001,1.59999999999999,"August2022","Raclette"
"12",276,2022-08-18 14:30:27,15.28,26431.21,0.21,-30.3,0.53,-199.1,15,69,2022-08-31 12:06:17,679.62,21099.69,0.2,-29.6,0.59,-195.4,0.699999999999999,3.69999999999999,"August2022","Raclette"
"13",320,2022-08-18 15:02:10,9.62,26507.94,0.19,-30.4,0.52,-199,16,NA,2022-08-31 11:48:31,609.41,22030.58,0.22,-29.6,0.55,-197.1,0.799999999999997,1.90000000000001,"August2022","Raclette"
"14",NA,2022-08-18 09:01:20,7.61,26620.84,0.2,-30.3,0.53,-199.1,4,446,2022-08-31 17:47:05,671.76,21008.64,0.21,-30,0.59,-197.6,0.300000000000001,1.5,"August2022","Raclette"
"15",NA,2022-08-18 13:01:20,8.29,26493.15,0.18,-30.3,0.53,-199.2,12,152,2022-08-31 12:57:04,707.81,20461.41,0.2,-29.4,0.58,-196.5,0.900000000000002,2.69999999999999,"August2022","Raclette"
