"","H2O_Batch.x","start_time.x","SDH2O_out.x","H2O_out.x","SD_18O_out.x","d18O_out.x","SD_2H_out.x","d2H_out.x","Flask","d18O_corr.x","d2H_corr.x","H2O_Batch.y","start_time.y","SDH2O_out.y","H2O_out.y","SD_18O_out.y","d18O_out.y","SD_2H_out.y","d2H_out.y","d18O_corr.y","d2H_corr.y","d18O_diff","d2H_diff","Session","SWISS"
"1",41,2022-03-20 17:25:17,41.82,37832.82,0.19,-40.2,0.36,-257.3,1,-40.8,-251.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"March2022","Raclette"
"2",96,2022-03-20 17:41:21,162.43,37200.48,0.2,-40.6,0.42,-258.3,2,-41.2,-252.4,162,2022-04-04 08:12:32,97.73,38882.18,0.17,-38.2,0.39,-250.4,-38.6,-244.6,2.6,7.90000000000001,"March2022","Raclette"
"3",162,2022-03-20 17:57:35,179.7,37102.85,0.19,-40.7,0.4,-258.3,3,-41.3,-252.4,108,2022-04-04 07:56:12,100.17,38990.71,0.18,-39.2,0.39,-252.3,-39.5,-246.4,1.8,6,"March2022","Raclette"
"4",249,2022-03-20 18:14:05,108.37,37669.39,0.18,-40.5,0.37,-257.4,4,-41.1,-251.6,48,2022-04-04 07:41:26,64.96,36937.85,0.18,-39.9,0.4,-255.8,-40.2,-249.8,0.899999999999999,1.59999999999997,"March2022","Raclette"
"5",323,2022-03-20 18:30:20,183.34,37266.23,0.19,-40.6,0.4,-258.2,5,-41.2,-252.3,617,2022-04-03 22:25:41,114.13,39263.19,0.2,-39.1,0.39,-252.4,-39.4,-246.5,1.8,5.79999999999998,"March2022","Raclette"
"6",343,2022-03-20 18:46:27,65.32,37882.34,0.17,-40.4,0.39,-257.2,6,-41,-251.4,568,2022-04-03 22:08:11,141.64,32328.74,0.18,-35.4,0.45,-248.4,-35.8,-242.7,5.2,8.79999999999998,"March2022","Raclette"
"7",423,2022-03-20 19:02:49,73.61,37867.77,0.17,-40.4,0.39,-257.3,7,-41,-251.5,523,2022-04-03 21:50:40,103.58,37014.69,0.19,-39.9,0.42,-256.4,-40.2,-250.3,0.799999999999997,0.900000000000034,"March2022","Raclette"
"8",460,2022-03-20 19:19:00,102.8,37815.91,0.19,-40.4,0.44,-257.3,8,-41,-251.5,485,2022-04-03 21:33:22,83.64,36612.68,0.19,-39.4,0.4,-255.1,-39.7,-249.1,1.3,2.20000000000002,"March2022","Raclette"
"9",537,2022-03-20 19:35:22,155.86,37519.83,0.19,-40.6,0.42,-257.9,9,-41.2,-252.1,441,2022-04-03 21:16:03,74.59,38770.86,0.2,-39.3,0.4,-253,-39.6,-247.1,1.6,4.89999999999998,"March2022","Raclette"
"10",548,2022-03-20 19:51:38,105.99,37566.51,0.19,-40.5,0.39,-257.7,10,-41.1,-251.9,393,2022-04-03 20:58:35,112.77,33714.68,0.19,-35,0.41,-245.8,-35.5,-240.2,5.6,11.9,"March2022","Raclette"
"11",581,2022-03-20 20:07:55,148.38,37525.65,0.2,-40.6,0.41,-258,11,-41.2,-252.1,NA,2022-04-03 20:39:01,79.61,37775.77,0.18,-38.4,0.39,-251.4,-38.8,-245.6,2.40000000000001,6.59999999999999,"March2022","Raclette"
"12",592,2022-03-20 20:24:03,59.03,37967.85,0.18,-40.4,0.38,-257.1,12,-41,-251.3,296,2022-04-03 20:23:45,75.33,33645.17,0.19,-36.5,0.41,-250.5,-36.9,-244.7,4.1,6.60000000000002,"March2022","Raclette"
"13",722,2022-03-20 20:40:17,110.97,37705.11,0.17,-40.4,0.41,-257.2,13,-41,-251.4,249,2022-04-03 20:06:17,67.1,36960.24,0.18,-39.9,0.41,-256.1,-40.2,-250.1,0.799999999999997,1.09999999999997,"March2022","Raclette"
"14",803,2022-03-20 20:56:35,101.32,37902.43,0.19,-40.4,0.39,-257.2,14,-41,-251.4,NA,2022-04-03 19:48:01,396.54,36862.88,0.21,-40.1,0.65,-256.5,-40.4,-250.4,0.600000000000001,0.699999999999989,"March2022","Raclette"
"15",881,2022-03-20 21:12:59,153.92,37642.88,0.18,-40.5,0.46,-257.8,15,-41.1,-252,150,2022-04-03 19:31:36,76.05,39022.6,0.19,-39.2,0.38,-252.5,-39.5,-246.6,1.6,5.30000000000001,"March2022","Raclette"
"16",930,2022-03-20 21:37:44,12.21,38202.64,0.2,-40.4,0.4,-257.1,16,-41,-251.3,98,2022-04-03 19:14:06,53.27,22085.23,0.19,-24.1,0.53,-224.2,-24.9,-219.6,16.1,32.9,"March2022","Raclette"
