"","H2O_Batch.x","start_time.x","SDH2O_out.x","H2O_out.x","SD_18O_out.x","d18O_out.x","SD_2H_out.x","d2H_out.x","Flask","d18O_corr.x","d2H_corr.x","H2O_Batch.y","start_time.y","SDH2O_out.y","H2O_out.y","SD_18O_out.y","d18O_out.y","SD_2H_out.y","d2H_out.y","d18O_corr.y","d2H_corr.y","d18O_diff","d2H_diff","Session","SWISS"
"1",0,2022-03-19 09:57:22,23.15,36958.06,0.18,-40.6,0.39,-258.3,1,-41.2,-252.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"March2022","Rosti"
"2",133,2022-03-19 10:13:09,92.39,36233.23,0.19,-40.8,0.39,-258.6,2,-41.4,-252.7,46,2022-04-02 12:46:10,20.06,33663.55,0.17,-39.6,0.43,-257,-39.9,-250.9,1.5,1.60000000000002,"March2022","Rosti"
"3",160,2022-03-19 10:29:27,66.04,36139.86,0.18,-40.8,0.38,-258.7,3,-41.4,-252.8,93,2022-04-02 13:03:29,44,34481.17,0.18,-40.7,0.36,-258.9,-41,-252.7,0.399999999999999,-0.199999999999989,"March2022","Rosti"
"4",225,2022-03-19 10:45:42,76.24,35909.18,0.18,-40.8,0.39,-258.8,4,-41.4,-252.9,142,2022-04-02 13:20:53,30.14,34443.57,0.2,-40.6,0.38,-258.8,-40.9,-252.6,0.5,0,"March2022","Rosti"
"5",303,2022-03-19 11:02:28,73.96,35691.46,0.2,-40.9,0.35,-259,5,-41.5,-253.1,187,2022-04-02 13:38:14,26.11,33375.88,0.19,-39,0.45,-256.6,-39.4,-250.5,2.1,2.39999999999998,"March2022","Rosti"
"6",418,2022-03-19 11:18:47,80.1,35444.59,0.18,-40.9,0.38,-258.9,6,-41.5,-253,232,2022-04-02 13:55:39,29.98,35559.92,0.17,-40.1,0.42,-256.9,-40.4,-250.8,1.1,2,"March2022","Rosti"
"7",521,2022-03-19 11:34:32,92.68,35276.82,0.17,-40.9,0.42,-258.8,7,-41.5,-252.9,277,2022-04-02 14:13:03,29.16,34948.86,0.18,-40.3,0.39,-258.1,-40.6,-252,0.899999999999999,0.699999999999989,"March2022","Rosti"
"8",530,2022-03-19 11:50:48,118.64,35232.73,0.19,-40.9,0.39,-259.1,8,-41.5,-253.2,321,2022-04-02 14:30:28,33.32,34871.29,0.19,-40.6,0.41,-258.7,-40.9,-252.5,0.600000000000001,0.400000000000034,"March2022","Rosti"
"9",585,2022-03-19 12:07:03,99.5,35256.8,0.2,-40.9,0.4,-259,9,-41.5,-253.1,366,2022-04-02 14:47:58,39.62,34885.29,0.19,-40.5,0.39,-258.5,-40.8,-252.4,0.700000000000003,0.5,"March2022","Rosti"
"10",658,2022-03-19 12:23:48,90.99,35221.83,0.2,-40.9,0.42,-259.1,10,-41.5,-253.2,413,2022-04-02 15:05:20,23.82,34009.19,0.19,-38.2,0.41,-254.5,-38.6,-248.5,2.9,4.60000000000002,"March2022","Rosti"
"11",777,2022-03-19 12:40:12,110.14,34953.06,0.18,-40.9,0.38,-259.2,11,-41.5,-253.3,458,2022-04-02 15:22:44,33.43,33940.44,0.19,-39.4,0.44,-256.9,-39.7,-250.8,1.8,2.30000000000001,"March2022","Rosti"
"12",904,2022-03-19 12:56:15,127.23,34840.97,0.18,-40.9,0.41,-259.4,12,-41.5,-253.5,493,2022-04-02 15:40:02,30.99,34970.29,0.18,-40.4,0.38,-258.2,-40.7,-252.1,0.799999999999997,1.19999999999999,"March2022","Rosti"
"13",909,2022-03-19 13:12:39,75.62,35100.16,0.2,-40.9,0.39,-259,13,-41.5,-253.1,539,2022-04-02 15:57:35,29.68,35358.01,0.2,-40.4,0.43,-258.4,-40.7,-252.3,0.799999999999997,0.600000000000023,"March2022","Rosti"
"14",1030,2022-03-19 13:28:28,112.96,34879.07,0.17,-40.9,0.43,-259.2,14,-41.5,-253.3,587,2022-04-02 16:15:03,29.28,35482.52,0.18,-40.4,0.37,-258.3,-40.7,-252.2,0.799999999999997,0.899999999999977,"March2022","Rosti"
"15",1095,2022-03-19 13:45:09,84.4,35076.51,0.18,-40.9,0.41,-259.2,15,-41.5,-253.3,634,2022-04-02 16:32:25,27.25,35669.63,0.18,-40.4,0.45,-258.3,-40.7,-252.2,0.799999999999997,0.899999999999977,"March2022","Rosti"
"16",1196,2022-03-19 14:01:37,88.53,34975.38,0.19,-40.9,0.43,-258.9,16,-41.5,-253,693,2022-04-02 16:53:40,36.27,35586.68,0.18,-40,0.4,-257.7,-40.3,-251.6,1.2,1.19999999999999,"March2022","Rosti"
