"","H2O_Batch.x","start_time.x","SDH2O_out.x","H2O_out.x","SD_18O_out.x","d18O_out.x","SD_2H_out.x","d2H_out.x","Flask","d18O_corr.x","d2H_corr.x","H2O_Batch.y","start_time.y","SDH2O_out.y","H2O_out.y","SD_18O_out.y","d18O_out.y","SD_2H_out.y","d2H_out.y","d18O_corr.y","d2H_corr.y","d18O_corr_phlox","d2H_corr_phlox","d18O_diff_raw","d18O_diff","d2H_diff","d2H_corr_diff","Session","SWISS"
"1",0,2022-03-19 14:32:32,135.38,34950.73,0.17,-40.8,0.47,-259.9,1,-41.4,-254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"March2022","Toblerone"
"2",12,2022-03-19 15:04:57,116.42,33613.96,0.19,-41.2,0.41,-261.7,3,-41.8,-255.7,91,2022-04-02 17:48:36,49.76,34411.62,0.19,-40.3,0.38,-258.8,-40.6,-252.6,-42.5761185924036,-246.443137084425,0.900000000000006,1.2,2.89999999999998,3.09999999999999,"March2022","Toblerone"
"3",39,2022-03-19 15:21:03,115.93,34385.53,0.2,-41,0.39,-260,4,-41.6,-254.1,139,2022-04-02 18:06:04,69.44,34305.72,0.19,-40.4,0.42,-258.8,-40.7,-252.6,-42.6717329529157,-246.443137084425,0.600000000000001,0.899999999999999,1.19999999999999,1.5,"March2022","Toblerone"
"4",149,2022-03-19 15:53:49,109.48,34757.07,0.18,-40.9,0.42,-259.7,6,-41.5,-253.8,237,2022-04-02 18:40:53,87.13,34135.49,0.18,-40.4,0.42,-258.9,-40.7,-252.7,-42.6717329529157,-246.538365022017,0.5,0.799999999999997,0.800000000000011,1.10000000000002,"March2022","Toblerone"
"5",198,2022-03-19 16:09:58,45.06,35120.78,0.18,-40.8,0.41,-259,7,-41.4,-253.1,284,2022-04-02 18:58:18,32.01,33926.69,0.18,-40.1,0.38,-258.4,-40.4,-252.3,-42.3848898713796,-246.06222533406,0.699999999999996,1,0.600000000000023,0.799999999999983,"March2022","Toblerone"
"6",229,2022-03-19 16:26:16,75.76,34989.05,0.17,-40.8,0.41,-259.1,8,-41.4,-253.2,316,2022-04-02 19:15:29,49.08,33946.68,0.19,-39.8,0.39,-257.8,-40.1,-251.7,-42.0980467898435,-245.490857708511,1,1.3,1.30000000000001,1.5,"March2022","Toblerone"
"7",295,2022-03-19 16:42:27,101.64,34960.52,0.19,-40.9,0.4,-259,9,-41.5,-253.1,363,2022-04-02 19:33:07,61.07,33977.02,0.19,-40,0.44,-257.9,-40.3,-251.8,-42.2892755108675,-245.586085646102,0.899999999999999,1.2,1.10000000000002,1.29999999999998,"March2022","Toblerone"
"8",329,2022-03-19 16:58:48,77.71,35044.18,0.18,-40.8,0.42,-258.9,10,-41.4,-253,410,2022-04-02 19:50:32,44.37,33578.25,0.19,-38.8,0.43,-256.3,-39.2,-250.2,-41.1419031847231,-244.06243864464,2,2.2,2.59999999999997,2.80000000000001,"March2022","Toblerone"
"9",382,2022-03-19 17:15:04,39.69,35173.28,0.19,-40.7,0.4,-258.8,11,-41.3,-252.9,458,2022-04-02 20:07:57,36.51,34623.04,0.17,-40.5,0.41,-258.6,-40.8,-252.4,-42.7673473134277,-246.252681209242,0.200000000000003,0.5,0.199999999999989,0.5,"March2022","Toblerone"
"10",442,2022-03-19 17:31:12,83.85,35036.81,0.18,-40.8,0.43,-259.1,12,-41.4,-253.2,505,2022-04-02 20:25:22,60.65,34864.52,0.2,-38.9,0.42,-254.6,-39.3,-248.6,-41.2375175452351,-242.443563705586,1.9,2.1,4.50000000000003,4.59999999999999,"March2022","Toblerone"
"11",494,2022-03-19 17:47:35,117.99,34924.23,0.19,-40.8,0.41,-259.2,13,-41.4,-253.3,537,2022-04-02 20:42:33,43.91,34484.67,0.19,-40.2,0.44,-258.1,-40.5,-252,-42.4805042318916,-245.776541521285,0.599999999999994,0.899999999999999,1.09999999999997,1.30000000000001,"March2022","Toblerone"
"12",561,2022-03-19 18:03:54,96.69,34994.63,0.18,-40.7,0.39,-259,14,-41.3,-253.1,583,2022-04-02 21:00:10,46.43,36085.52,0.18,-39.1,0.39,-253.6,-39.4,-247.7,-41.4287462662592,-241.491284329672,1.6,1.9,5.40000000000001,5.40000000000001,"March2022","Toblerone"
"13",632,2022-03-19 18:20:08,86.75,35095.45,0.18,-40.7,0.42,-259,15,-41.3,-253.1,637,2022-04-02 21:17:42,136.21,42954.03,0.18,-37.3,0.4,-242.1,-37.7,-236.7,-39.7076877770426,-230.540071506658,3.40000000000001,3.59999999999999,16.9,16.4,"March2022","Toblerone"
"14",686,2022-03-19 18:40:44,19.45,35263.29,0.18,-40.8,0.43,-258.9,16,-41.4,-253,689,2022-04-02 21:35:16,42.13,41093.73,0.18,-37.2,0.37,-242.7,-37.6,-237.3,-39.6120734165306,-231.111439132207,3.59999999999999,3.8,16.2,15.7,"March2022","Toblerone"
"15",12,2022-03-19 14:49:01,75.67,32759.89,0.2,-41.5,0.43,-264.2,2,-42.1,-258.1,47,2022-04-02 17:31:21,41.68,34516.12,0.18,-40.1,0.4,-257.7,-40.4,-251.6,-42.3848898713796,-245.39562977092,1.4,1.7,6.5,6.50000000000003,"March2022","Toblerone"
"16",92,2022-03-19 15:37:41,92.02,34867.55,0.19,-40.9,0.41,-259.1,5,-41.5,-253.2,189,2022-04-02 18:23:31,88.58,35080.08,0.17,-39.9,0.41,-257.3,-40.2,-251.2,-42.1936611503555,-245.014718020554,1,1.3,1.80000000000001,2,"March2022","Toblerone"
