"","start_time.x","SDH2O_out.x","H2O_out.x","SD_18O_out.x","d18O_out.x","SD_2H_out.x","d2H_out.x","Flask","datatype.x","start_time.y","SDH2O_out.y","H2O_out.y","SD_18O_out.y","d18O_out.y","SD_2H_out.y","d2H_out.y","datatype.y","H2O_diff","d18O_diff","d2H_diff","Session","SWISS"
"1",2021-03-16 10:20:01,75.27,21150,0.21,0.4,0.56,0,2,"Vapor In",2021-03-25 14:17:31,28.11,20092.2,0.2,0.7,0.67,-8.4,"Vapor Out",-1057.8,0.3,-8.4,"March2021","Toblerone"
"2",2021-03-16 10:38:01,96.06,18722.26,0.21,0.4,0.64,-0.3,3,"Vapor In",2021-03-25 14:22:31,9.19,18022.93,0.25,0.4,0.66,-6.2,"Vapor Out",-699.329999999998,0,-5.9,"March2021","Toblerone"
"3",2021-03-16 10:56:01,171.58,17636.37,0.22,0.4,0.69,-0.5,4,"Vapor In",2021-03-25 14:27:31,8.28,16891.49,0.22,0.2,0.63,-5.2,"Vapor Out",-744.879999999997,-0.2,-4.7,"March2021","Toblerone"
"4",2021-03-16 11:14:01,71.08,16026.82,0.22,0.3,0.74,-1.3,5,"Vapor In",2021-03-25 14:32:31,10.34,15713.48,0.24,-0.3,0.68,-5.1,"Vapor Out",-313.34,-0.6,-3.8,"March2021","Toblerone"
"5",2021-03-16 11:32:01,167.4,19252.74,0.21,0.4,0.62,0.6,6,"Vapor In",2021-03-25 14:37:31,9.31,18242.37,0.21,0.5,0.62,-4.2,"Vapor Out",-1010.37,0.1,-4.8,"March2021","Toblerone"
"6",2021-03-16 12:42:51,131.75,22201.03,0.19,0.5,0.59,1.6,7,"Vapor In",2021-03-25 14:42:31,16.52,21279.9,0.22,0.4,0.45,-1,"Vapor Out",-921.129999999997,-0.1,-2.6,"March2021","Toblerone"
"7",2021-03-16 13:00:51,185.21,20774.31,0.21,0.5,0.59,1.4,8,"Vapor In",2021-03-25 14:47:31,11.87,20074.49,0.19,0.8,0.64,-2.8,"Vapor Out",-699.82,0.3,-4.2,"March2021","Toblerone"
"8",2021-03-16 13:18:51,79.87,19555.93,0.21,0.5,0.61,1.2,9,"Vapor In",2021-03-25 14:52:31,11.09,19292,0.17,0.4,0.67,-1.8,"Vapor Out",-263.93,-0.1,-3,"March2021","Toblerone"
"9",2021-03-16 13:36:31,133.24,18799.96,0.21,0.4,0.63,0.9,10,"Vapor In",2021-03-25 14:57:31,10.9,18981.63,0.22,0.6,0.61,-2.4,"Vapor Out",181.670000000002,0.2,-3.3,"March2021","Toblerone"
"10",2021-03-16 14:04:16,280.16,22546.79,0.19,0.5,0.58,1.9,12,"Vapor In",2021-03-25 15:07:31,16.85,21423,0.19,0.2,0.58,-0.6,"Vapor Out",-1123.79,-0.3,-2.5,"March2021","Toblerone"
"11",2021-03-16 14:22:16,587.6,21827.02,0.2,0.5,0.57,1.8,13,"Vapor In",2021-03-25 15:12:31,13.23,21738.22,0.2,0.3,0.58,-0.8,"Vapor Out",-88.7999999999993,-0.2,-2.6,"March2021","Toblerone"
"12",2021-03-16 14:40:16,189.89,20607.38,0.19,0.5,0.6,1.6,14,"Vapor In",2021-03-25 15:17:31,7.12,20438.96,0.19,0.2,0.66,-0.7,"Vapor Out",-168.420000000002,-0.3,-2.3,"March2021","Toblerone"
"13",2021-03-16 14:58:16,80.33,19448.68,0.21,0.4,0.64,1.3,15,"Vapor In",2021-03-25 15:22:31,10.78,19736.28,0.19,0.4,0.56,-0.9,"Vapor Out",287.599999999999,0,-2.2,"March2021","Toblerone"
"14",2021-03-16 15:16:16,160.29,19243.83,0.2,0.5,0.59,1.2,16,"Vapor In",2021-03-25 15:27:31,12.72,19012.63,0.19,0.4,0.73,-1.2,"Vapor Out",-231.200000000001,-0.1,-2.4,"March2021","Toblerone"
"15",2021-03-16 15:37:16,180.57,18712.69,0.22,0.4,0.63,0.8,11,"Vapor In",2021-03-25 15:02:31,9.46,18629.28,0.21,0.4,0.63,-2.6,"Vapor Out",-83.4099999999999,0,-3.4,"March2021","Toblerone"
